time,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,3day_prediction
2024-12-08,71,-39.0,-56.1,-45.4,-49.3,-65.7,-55.7,0.004,0.138,4.0,8.6,29.5,262,9.84,0.003,0.0
2024-12-09,71,-54.4,-65.6,-59.3,-64.5,-75.0,-68.9,0.0,0.165,5.0,6.1,21.5,282,5.9,0.001,0.11
2024-12-10,3,-49.2,-65.8,-59.6,-58.8,-75.0,-68.7,0.0,0.0,0.0,4.7,18.6,264,9.78,0.002,1.571
2024-12-11,3,-35.9,-62.0,-48.0,-45.1,-70.9,-57.4,0.0,0.0,0.0,6.4,20.4,228,8.91,0.004,2.205
2024-12-12,73,-30.6,-46.8,-39.4,-40.3,-57.7,-49.4,0.0,0.11,2.0,8.5,26.6,207,9.68,0.006,2.783
2024-12-13,73,-46.8,-55.5,-50.9,-56.1,-65.2,-60.8,0.004,1.571,12.0,7.5,25.7,237,3.76,0.001,0.22
2024-12-14,75,-34.7,-51.5,-42.1,-45.4,-62.2,-53.5,0.0,2.205,13.0,15.2,55.3,202,3.81,0.002,0.165
2024-12-15,75,-48.3,-62.8,-53.1,-60.1,-72.4,-63.7,0.0,2.783,12.0,10.3,34.9,254,5.66,0.001,0.0
2024-12-16,73,-31.6,-55.1,-41.9,-41.6,-64.9,-52.2,0.0,0.22,3.0,9.2,32.4,223,7.1,0.004,0.0
2024-12-17,71,-37.3,-58.3,-46.9,-50.6,-66.6,-57.5,0.004,0.165,4.0,13.4,44.1,256,4.77,0.002,0.0
2024-12-18,3,-28.3,-52.6,-40.9,-38.0,-61.4,-50.3,0.0,0.0,0.0,6.3,21.0,247,9.53,0.005,0.0
2024-12-19,3,-26.6,-44.8,-37.5,-34.4,-54.2,-46.4,0.0,0.0,0.0,5.5,20.4,244,9.71,0.006,0.11
2024-12-20,3,-24.0,-38.5,-32.3,-32.6,-48.0,-41.5,0.0,0.0,0.0,5.1,16.1,224,9.39,0.008,0.165
2024-12-21,3,-24.3,-36.2,-31.9,-34.3,-46.6,-42.1,0.0,0.0,0.0,8.2,24.6,218,9.14,0.007,0.193
2024-12-22,71,-29.9,-40.4,-35.1,-39.0,-49.6,-44.8,0.0,0.11,3.0,8.1,23.9,243,4.97,0.004,1.102
2024-12-23,73,-35.4,-50.6,-42.3,-46.4,-59.8,-51.8,0.0,0.165,3.0,8.1,24.6,256,4.93,0.002,1.516
2024-12-24,73,-26.9,-50.4,-39.9,-36.3,-59.4,-49.0,0.0,0.193,4.0,5.4,23.3,182,7.04,0.005,3.886
2024-12-25,73,-40.9,-60.9,-47.5,-50.3,-69.5,-56.5,0.004,1.102,10.0,5.4,16.6,272,3.44,0.001,3.886
2024-12-26,75,-39.7,-61.6,-49.8,-50.9,-70.2,-60.4,0.004,1.516,14.0,10.9,41.2,247,7.26,0.002,4.409
2024-12-27,75,-41.8,-53.6,-47.1,-52.3,-63.3,-58.3,0.004,3.886,17.0,12.8,40.7,248,2.3,0.001,1.433
2024-12-28,75,-36.8,-47.7,-41.9,-48.3,-58.4,-53.1,0.012,3.886,23.0,9.6,31.8,244,2.98,0.001,0.0
2024-12-29,75,-31.9,-47.9,-38.4,-44.0,-59.2,-50.2,0.0,4.409,10.0,14.1,45.6,235,7.21,0.003,0.937
2024-12-30,75,-48.9,-71.3,-58.1,-60.0,-80.3,-68.3,0.0,1.433,15.0,8.9,30.2,261,4.95,0.001,1.598
2024-12-31,3,-55.2,-72.7,-65.1,-64.3,-81.8,-74.1,0.0,0.0,0.0,4.8,17.4,243,10.08,0.001,0.0
2025-01-01,73,-43.7,-67.1,-51.7,-55.1,-76.7,-62.5,0.0,0.937,10.0,9.0,30.9,234,4.66,0.001,6.146
2025-01-02,73,-36.0,-45.3,-41.2,-45.6,-56.2,-51.7,0.02,1.598,12.0,9.9,32.9,254,7.2,0.003,0.303
2025-01-03,3,-27.6,-36.9,-32.6,-38.8,-47.7,-43.9,0.0,0.0,0.0,10.1,35.8,211,6.88,0.006,0.331
2025-01-04,75,-34.3,-56.5,-48.8,-46.3,-66.6,-60.0,0.0,6.146,15.0,12.9,41.4,268,2.91,0.001,0.0
2025-01-05,71,-47.1,-56.7,-51.4,-56.7,-66.4,-60.9,0.008,0.303,10.0,6.0,18.3,270,4.43,0.001,0.0
2025-01-06,71,-44.1,-54.9,-48.8,-53.0,-62.9,-57.6,0.008,0.331,9.0,4.8,16.3,300,5.93,0.001,0.0
2025-01-07,3,-48.8,-68.7,-56.1,-58.5,-77.1,-64.9,0.0,0.0,0.0,6.1,17.9,32,9.2,0.002,0.386
2025-01-08,3,-44.1,-67.8,-55.1,-52.5,-76.5,-64.0,0.0,0.0,0.0,6.2,24.4,271,9.99,0.003,3.004
2025-01-09,3,-48.4,-63.5,-57.0,-58.6,-71.7,-65.8,0.0,0.0,0.0,6.2,19.5,355,10.39,0.002,0.165
2025-01-10,73,-40.5,-63.0,-51.6,-49.4,-72.3,-61.2,0.0,0.386,3.0,8.3,27.7,271,10.0,0.003,0.0
2025-01-11,75,-48.1,-66.2,-55.9,-59.5,-74.7,-66.0,0.016,3.004,17.0,9.2,35.3,281,3.32,0.0,0.0
2025-01-12,71,-53.7,-64.9,-59.8,-62.9,-73.7,-68.4,0.004,0.165,6.0,4.1,13.2,315,8.67,0.001,0.0
2025-01-13,3,-55.7,-70.3,-63.4,-65.5,-79.0,-72.4,0.0,0.0,0.0,6.8,21.5,287,8.66,0.001,0.0
2025-01-14,3,-50.0,-68.2,-60.7,-59.0,-77.4,-69.5,0.0,0.0,0.0,4.4,15.9,281,9.66,0.002,0.524
2025-01-15,0,-36.2,-60.8,-48.6,-44.3,-69.9,-56.9,0.0,0.0,0.0,3.4,13.0,266,11.0,0.004,2.398
2025-01-16,0,-31.7,-50.9,-42.6,-40.4,-61.1,-51.4,0.0,0.0,0.0,6.2,18.1,230,11.28,0.005,0.276
2025-01-17,73,-42.1,-59.8,-50.9,-53.3,-69.7,-61.8,0.008,0.524,8.0,11.2,34.7,267,5.65,0.001,0.028
2025-01-18,75,-60.3,-78.8,-66.9,-70.6,-87.9,-76.6,0.004,2.398,15.0,7.6,24.4,265,6.99,0.001,0.0
2025-01-19,71,-57.9,-72.5,-65.7,-68.2,-82.2,-75.3,0.0,0.276,8.0,6.6,22.8,269,8.02,0.001,0.0
2025-01-20,71,-65.4,-86.2,-75.2,-74.4,-94.9,-83.8,0.0,0.028,1.0,4.2,17.0,293,12.39,0.001,0.0
2025-01-21,3,-46.4,-76.0,-58.6,-56.6,-85.3,-69.0,0.0,0.0,0.0,11.0,36.0,261,11.31,0.003,0.358
2025-01-22,0,-52.3,-73.1,-61.6,-64.5,-82.2,-71.6,0.0,0.0,0.0,10.6,34.7,275,12.18,0.002,1.157
2025-01-23,1,-49.3,-71.4,-61.4,-58.3,-80.9,-70.5,0.0,0.0,0.0,4.7,18.1,292,12.32,0.002,0.0
2025-01-24,73,-43.7,-56.2,-50.6,-54.7,-66.0,-60.8,0.0,0.358,5.0,9.0,29.3,238,6.8,0.002,0.0
2025-01-25,73,-48.8,-58.7,-54.5,-58.5,-67.5,-63.3,0.0,1.157,21.0,4.9,16.6,150,5.32,0.001,0.0
2025-01-26,3,-42.1,-63.8,-53.5,-49.9,-71.8,-61.6,0.0,0.0,0.0,2.2,12.8,169,12.2,0.004,0.0
2025-01-27,1,-36.9,-61.4,-50.9,-44.9,-69.4,-58.9,0.0,0.0,0.0,3.1,9.6,106,12.87,0.004,0.0
2025-01-28,1,-36.9,-62.9,-50.8,-45.6,-70.8,-59.0,0.0,0.0,0.0,3.2,16.1,129,13.05,0.004,0.303
